DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       NH3                       ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2024-12-12                09:08:02.176              346.38058074              8313.133938               347.38058074              1734023282.176            0                         963                       1.4000149562E+02          4.5002922058E+01          1.8538135593E+01          4.5015495300E+01          4.5005577087E+01          4.7000000000E+01          0.0000000000E+00          5.1604974576E+04          0.0000000000E+00          3.4368244428E-01          3.4498422050E-01          3.4232457679E-01          3.3659407570E-01          3.4759359154E-01          3.4880605270E-01          3.4603946061E-01          3.4061633371E-01          4.5719595664E+02          4.6236211010E+02          2.0843973028E+00          2.1017327448E+00          6.4024775904E-01          8.5643656503E-02          0.0000000000E+00          6.9049437618E-01          6.2337869797E+01          7.6456811522E-01          3.8968031884E+01          4.5379652973E+02          1.0685261725E-01          
2024-12-12                09:08:02.914              346.38058928              8313.134143               347.38058928              1734023282.914            0                         963                       1.4000149562E+02          4.5002922058E+01          1.8538135593E+01          4.5015495300E+01          4.5005577087E+01          4.7000000000E+01          0.0000000000E+00          5.1604974576E+04          0.0000000000E+00          3.4367099664E-01          3.4493659173E-01          3.4234023283E-01          3.3661068819E-01          3.4757999399E-01          3.4876672246E-01          3.4605737378E-01          3.4063268033E-01          4.5501561744E+02          4.6015484877E+02          2.0845198336E+00          2.1018473382E+00          6.3991989232E-01          7.0615173498E-02          0.0000000000E+00          6.9049437618E-01          6.2337869797E+01          7.6456811522E-01          3.8968031884E+01          4.5379652973E+02          1.0685261725E-01          
2024-12-12                09:08:03.223              346.38059287              8313.134229               347.38059287              1734023283.224            0                         963                       1.4000221252E+02          4.5002922058E+01          1.8500000000E+01          4.5015495300E+01          4.5005577087E+01          2.5000000000E+01          0.0000000000E+00          5.1605234375E+04          0.0000000000E+00          3.4213193636E-01          3.4487284956E-01          3.4227694678E-01          3.3663645471E-01          3.4602258502E-01          3.4870435570E-01          3.4599249581E-01          3.4065819978E-01          4.5409980408E+02          4.5922773470E+02          2.0845712982E+00          2.1018954684E+00          6.3978217127E-01          6.4291556387E-02          0.0000000000E+00          6.9049437618E-01          6.2337869797E+01          7.6456811522E-01          3.8968031884E+01          4.5397014518E+02          1.0685261725E-01          
2024-12-12                09:08:04.227              346.38060449              8313.134508               347.38060449              1734023284.228            0                         963                       1.4000269408E+02          4.5002922058E+01          1.8500000000E+01          4.5015495300E+01          4.5005577087E+01          4.7000000000E+01          0.0000000000E+00          5.1605610217E+04          0.0000000000E+00          3.3714737876E-01          3.4467664791E-01          3.4207129733E-01          3.3665053378E-01          3.4097865378E-01          3.4851936977E-01          3.4578068860E-01          3.4067189994E-01          4.5113375305E+02          4.5622511457E+02          2.0849276509E+00          2.1022425757E+00          6.3933615089E-01          4.3810964670E-02          0.0000000000E+00          6.7616561737E-01          6.2337869797E+01          7.1564218424E-01          3.8968031884E+01          4.5397014518E+02          1.0685261725E-01          
2024-12-12                09:08:04.967              346.38061306              8313.134713               347.38061306              1734023284.968            0                         963                       1.4000269408E+02          4.5002922058E+01          1.8500000000E+01          4.5015495300E+01          4.5005577087E+01          4.7000000000E+01          0.0000000000E+00          5.1605610217E+04          0.0000000000E+00          3.3713590858E-01          3.4458523145E-01          3.4201390909E-01          3.3666741956E-01          3.4096506685E-01          3.4843322331E-01          3.4572469300E-01          3.4068844163E-01          4.4894750695E+02          4.5401194380E+02          2.0851903131E+00          2.1024984215E+00          6.3900742140E-01          2.8741583229E-02          0.0000000000E+00          6.7616561737E-01          6.2337869797E+01          7.1564218424E-01          3.8968031884E+01          4.5397014518E+02          1.0685261725E-01          
2024-12-12                09:08:05.535              346.38061962              8313.134871               347.38061962              1734023285.535            0                         963                       1.4000158691E+02          4.5002281189E+01          1.8500000000E+01          4.5015525818E+01          4.5005577087E+01          2.0000000000E+00          0.0000000000E+00          5.1605906250E+04          0.0000000000E+00          3.3448397143E-01          3.4443084498E-01          3.4177584853E-01          3.3668125882E-01          3.3828150187E-01          3.4828253347E-01          3.4548303315E-01          3.4070189562E-01          4.4727245120E+02          4.5231627595E+02          2.0853915606E+00          2.1026944447E+00          6.3875554592E-01          1.7176504597E-02          0.0000000000E+00          6.7616561737E-01          6.2337869797E+01          7.1564218424E-01          3.8814258971E+01          4.5397014518E+02          6.1318440100E-03          
2024-12-12                09:08:06.151              346.38062676              8313.135042               347.38062676              1734023286.152            0                         963                       1.3999964142E+02          4.5002281189E+01          1.8500000000E+01          4.5015525818E+01          4.5005577087E+01          4.6000000000E+01          0.0000000000E+00          5.1605648438E+04          0.0000000000E+00          3.3160232498E-01          3.4412709090E-01          3.4150420052E-01          3.3669318856E-01          3.3536860515E-01          3.4798023201E-01          3.4520744733E-01          3.4071341795E-01          4.4544968438E+02          4.5047523442E+02          2.0856105550E+00          2.1029219514E+00          6.3900174943E-01          1.2666621368E-02          0.0000000000E+00          6.7616561737E-01          6.0384574937E+01          7.1564218424E-01          3.8814258971E+01          4.5397014518E+02          6.1318440100E-03          
2024-12-12                09:08:07.125              346.38063803              8313.135313               347.38063803              1734023287.126            0                         963                       1.3999750532E+02          4.5002281189E+01          1.8500000000E+01          4.5015525818E+01          4.5005577087E+01          4.7000000000E+01          0.0000000000E+00          5.1605326867E+04          0.0000000000E+00          3.2706585187E-01          3.4362772721E-01          3.4107673983E-01          3.3671255608E-01          3.3078234867E-01          3.4748021796E-01          3.4477252430E-01          3.4073236509E-01          4.4574747540E+02          4.5077868979E+02          2.0859536919E+00          2.1032759845E+00          6.3929796518E-01          5.6260991286E-03          0.0000000000E+00          6.5674902844E-01          6.0384574937E+01          7.3668568060E-01          3.8814258971E+01          4.5397014518E+02          6.1318440100E-03          
2024-12-12                09:08:07.858              346.38064652              8313.135516               347.38064652              1734023287.859            0                         963                       1.3999750532E+02          4.5002281189E+01          1.8500000000E+01          4.5015525818E+01          4.5005577087E+01          4.7000000000E+01          0.0000000000E+00          5.1605326867E+04          0.0000000000E+00          3.2706883338E-01          3.4298857512E-01          3.4091385720E-01          3.3668991823E-01          3.3078667094E-01          3.4683895785E-01          3.4460989809E-01          3.4070901839E-01          4.4597147772E+02          4.5100695584E+02          2.0862119364E+00          2.1035424311E+00          6.3952089351E-01          3.5177772352E-04          0.0000000000E+00          6.5674902844E-01          6.0384574937E+01          7.3668568060E-01          3.8814258971E+01          4.5397014518E+02          6.1318440100E-03          
2024-12-12                09:08:08.167              346.38065008              8313.135602               347.38065008              1734023288.167            0                         963                       1.3999972534E+02          4.5002281189E+01          1.8500000000E+01          4.5015525818E+01          4.5005577087E+01          2.5000000000E+01          0.0000000000E+00          5.1605484375E+04          0.0000000000E+00          3.2935968005E-01          3.4267882751E-01          3.4069180002E-01          3.3667205254E-01          3.3310410862E-01          3.4652680219E-01          3.4438738727E-01          3.4069038245E-01          4.4606553092E+02          4.5110280039E+02          2.0863204558E+00          2.1036543976E+00          6.3961456869E-01          -1.8482683486E-03         0.0000000000E+00          6.5674902844E-01          6.0384574937E+01          7.3668568060E-01          3.8814258971E+01          4.5434464832E+02          6.1318440100E-03          
